"id","name","price","status","url"
84,"医学教育网 2017主管护师 资格考试 护理学课件 视频网课题库","540.00","74笔","//detail.tmall.com/item.htm?id=537569490914&skuId=3209944026870&user_id=909237366&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
85,"考试宝典2017护理学护士执业资格/初级护师习题历年真题模拟题库","298.00","153笔","//detail.tmall.com/item.htm?id=527909701811&skuId=3141628819967&user_id=2716836258&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
86,"2017主管护师考试宝典题库内科妇产科儿科社区外科护理学中级真题","298.00","130笔","//detail.tmall.com/item.htm?id=525715894790&skuId=3449439006646&user_id=2486565177&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
87,"主管护师考试宝典2017全科护理学中级人卫军医版考试题库历年真题","298.00","112笔","//detail.tmall.com/item.htm?id=534774914140&skuId=3206571223945&user_id=2716836258&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
88,"2017主管护师考试宝典题库内科妇产科社区外科中医护理学中级真题","298.00","178笔","//detail.tmall.com/item.htm?id=17064953958&skuId=3429993655870&user_id=325408094&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
89,"2017基金从业资格考试私募股权投资基金基础知识法律法规题库软件","18.00","433笔","//detail.tmall.com/item.htm?id=538083092653&skuId=3458973726042&user_id=2900948213&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
90,"2017中级主治医师主管护师考试题库宝典内科儿科妇产科护理学中医","168.00","126笔","//detail.tmall.com/item.htm?id=536623250247&skuId=3483428839042&user_id=2894742471&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
91,"2017年基金从业资格考试证券私募股权投资基金基础知识押题库视频","18.00","159笔","//detail.tmall.com/item.htm?id=541225957500&skuId=3458967738389&user_id=2636319877&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
92,"医学教育网2017执业药师考试视频宝典西药师资格课件培训试卷题库","1260.00","15笔","//detail.tmall.com/item.htm?id=545483043538&skuId=3455012506674&user_id=3107653559&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
93,"环球网校2017年证券从业资格考试视频课件教程vip通关班真押题库","720.00","18笔","//detail.tmall.com/item.htm?id=525631234323&skuId=3169226146301&user_id=2450220366&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
94,"中华考试网校2017年二级建造师课件二建视频建筑市政机电教程题库","399.00","14笔","//detail.tmall.com/item.htm?id=525733781890&skuId=3187802858071&user_id=2450220366&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
95,"正版kaplan 2017年CFA二级 LEVEL 2 原版视频+notes考试教材+题库","1180.00","7笔","//detail.tmall.com/item.htm?id=539153241411&skuId=4611686557580629315&user_id=2973326982&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
96,"环球网校2017年房地产估价师视频课件培训教程真题题库考试课程","240.00","14笔","//detail.tmall.com/item.htm?id=540351355303&skuId=3204001527197&user_id=2519995978&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
97,"环球网校2017注册造价工程师课件考试视频土建安装管理真题题库","150.00","5笔","//detail.tmall.com/item.htm?id=545601118896&skuId=3456718822692&user_id=2587413685&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
98,"直考通2017年证券从业资格考试题库软件真题押题视频教程课件讲义","18.00","103笔","//detail.tmall.com/item.htm?id=541326788093&skuId=3413285971142&user_id=2636319877&cat_id=2&is_b=1&rn=bf1a7ef48b9ff50cbfae666c3807e49d"
